time,"I(RX2)","I(RX1)","I(RIN1)","I(RIN2)","I(LQ|X2)"
0.000000e+00,1.177740e-12,3.350529e-10,-4.208180e-08,-4.208180e-08,2.940957e-05
2.000000e-13,4.292383e-08,-9.232419e-08,-1.089774e-06,-1.089774e-06,3.284489e-05
4.000000e-13,6.863650e-08,-1.597660e-07,-2.170659e-06,-2.170659e-06,3.870347e-05
6.000000e-13,8.078974e-08,-1.977150e-07,-3.261852e-06,-3.261852e-06,4.718899e-05
8.000000e-13,8.797623e-08,-2.227286e-07,-4.368974e-06,-4.368974e-06,5.797795e-05
1.000000e-12,8.898668e-08,-2.318412e-07,-5.486733e-06,-5.486733e-06,7.008967e-05
1.200000e-12,8.042744e-08,-2.137056e-07,-5.610706e-06,-5.610706e-06,8.194381e-05
1.400000e-12,6.383269e-08,-1.670034e-07,-5.671333e-06,-5.671333e-06,9.173082e-05
1.600000e-12,4.811473e-08,-1.111043e-07,-5.649886e-06,-5.649886e-06,9.790823e-05
1.800000e-12,4.335214e-08,-7.843133e-08,-5.521814e-06,-5.521814e-06,9.958551e-05
2.000000e-12,5.231039e-08,-8.954348e-08,-5.301655e-06,-5.301655e-06,9.671096e-05
2.200000e-12,6.894381e-08,-1.372812e-07,-5.031372e-06,-5.031372e-06,9.005695e-05
2.400000e-12,8.317685e-08,-1.935356e-07,-4.764763e-06,-4.764763e-06,8.099803e-05
2.600000e-12,8.786106e-08,-2.295336e-07,-4.553064e-06,-4.553064e-06,7.113480e-05
2.800000e-12,8.348208e-08,-2.347944e-07,-4.430154e-06,-4.430154e-06,6.191756e-05
3.000000e-12,7.655194e-08,-2.212372e-07,-4.402225e-06,-4.402225e-06,5.441817e-05
3.200000e-12,7.376248e-08,-2.104072e-07,-4.450746e-06,-4.450746e-06,4.928725e-05
3.400000e-12,7.755010e-08,-2.169663e-07,-4.546263e-06,-4.546263e-06,4.683262e-05
3.600000e-12,8.551157e-08,-2.408406e-07,-4.662179e-06,-4.662179e-06,4.712534e-05
3.800000e-12,9.263076e-08,-2.697089e-07,-4.781639e-06,-4.781639e-06,5.006274e-05
4.000000e-12,9.438383e-08,-2.870136e-07,-4.897786e-06,-4.897786e-06,5.535831e-05
4.200000e-12,8.904011e-08,-2.804690e-07,-5.010750e-06,-5.010750e-06,6.247386e-05
4.400000e-12,7.777597e-08,-2.478235e-07,-5.123985e-06,-5.123985e-06,7.056191e-05
4.600000e-12,6.254135e-08,-1.973000e-07,-5.240721e-06,-5.240721e-06,7.851137e-05
4.800000e-12,4.486274e-08,-1.414732e-07,-5.359964e-06,-5.359964e-06,8.513405e-05
5.000000e-12,2.857347e-08,-8.987806e-08,-5.471544e-06,-5.471544e-06,8.942525e-05
5.200000e-12,2.143515e-08,-4.886101e-08,-5.552358e-06,-5.552358e-06,9.078863e-05
5.400000e-12,2.993293e-08,-2.595933e-08,-5.570353e-06,-5.570353e-06,8.915336e-05
5.600000e-12,5.265466e-08,-2.857492e-08,-5.500597e-06,-5.500597e-06,8.496275e-05
5.800000e-12,7.932842e-08,-5.723937e-08,-5.342534e-06,-5.342534e-06,7.904527e-05
6.000000e-12,9.618635e-08,-1.024929e-07,-5.122615e-06,-5.122615e-06,7.240796e-05
6.200000e-12,9.490713e-08,-1.483914e-07,-4.883927e-06,-4.883927e-06,6.602112e-05
6.400000e-12,7.880927e-08,-1.809491e-07,-4.672838e-06,-4.672838e-06,6.066216e-05
6.600000e-12,6.024790e-08,-1.971059e-07,-4.526190e-06,-4.526190e-06,5.684925e-05
6.800000e-12,5.177013e-08,-2.060068e-07,-4.460628e-06,-4.460628e-06,5.485031e-05
7.000000e-12,5.895245e-08,-2.212458e-07,-4.469672e-06,-4.469672e-06,5.472933e-05
7.200000e-12,7.893888e-08,-2.517285e-07,-4.531304e-06,-4.531304e-06,5.639197e-05
7.400000e-12,1.033733e-07,-2.965121e-07,-4.620209e-06,-4.620209e-06,5.960697e-05
7.600000e-12,1.228239e-07,-3.445002e-07,-4.716951e-06,-4.716951e-06,6.400138e-05
7.800000e-12,1.303676e-07,-3.791827e-07,-4.811180e-06,-4.811180e-06,6.905199e-05
8.000000e-12,1.230683e-07,-3.866457e-07,-4.900304e-06,-4.900304e-06,7.410978e-05
8.200000e-12,1.017831e-07,-3.619269e-07,-4.986338e-06,-4.986338e-06,7.848041e-05
8.400000e-12,7.094656e-08,-3.098475e-07,-5.072922e-06,-5.072922e-06,8.154637e-05
8.600000e-12,3.863843e-08,-2.414073e-07,-5.163101e-06,-5.163101e-06,8.288820e-05
8.800000e-12,1.505004e-08,-1.691335e-07,-5.257426e-06,-5.257426e-06,8.236337e-05
9.000000e-12,8.464601e-09,-1.032506e-07,-5.351810e-06,-5.351810e-06,8.012213e-05
9.200000e-12,2.074012e-08,-5.004679e-08,-5.435364e-06,-5.435364e-06,7.655967e-05
9.400000e-12,4.524589e-08,-1.412112e-08,-5.489864e-06,-5.489864e-06,7.222035e-05
9.600000e-12,6.926046e-08,-2.551915e-09,-5.493395e-06,-5.493395e-06,6.768163e-05
9.800000e-12,8.052146e-08,-2.343503e-08,-5.429293e-06,-5.429293e-06,6.345141e-05
1.000000e-11,7.424153e-08,-7.586859e-08,-5.296558e-06,-5.296558e-06,5.990423e-05
1.020000e-11,5.577957e-08,-1.426663e-07,-5.113770e-06,-5.113770e-06,5.726370e-05
1.040000e-11,3.735695e-08,-1.975469e-07,-4.913453e-06,-4.913453e-06,5.562140e-05
1.060000e-11,3.136608e-08,-2.227681e-07,-4.731480e-06,-4.731480e-06,5.497283e-05
1.080000e-11,4.422212e-08,-2.224180e-07,-4.596404e-06,-4.596404e-06,5.525114e-05
1.100000e-11,7.356684e-08,-2.196325e-07,-4.521725e-06,-4.521725e-06,5.634674e-05
1.120000e-11,1.097045e-07,-2.393041e-07,-4.503900e-06,-4.503900e-06,5.811148e-05
1.140000e-11,1.403092e-07,-2.898903e-07,-4.527129e-06,-4.527129e-06,6.035502e-05
1.160000e-11,1.560875e-07,-3.569752e-07,-4.571958e-06,-4.571958e-06,6.284524e-05
1.180000e-11,1.547226e-07,-4.108672e-07,-4.622884e-06,-4.622884e-06,6.532166e-05
1.200000e-11,1.412911e-07,-4.221283e-07,-4.671926e-06,-4.671926e-06,6.752326e-05
1.220000e-11,1.250400e-07,-3.766716e-07,-4.717869e-06,-4.717869e-06,6.922399e-05
1.240000e-11,1.142506e-07,-2.835939e-07,-4.762885e-06,-4.762885e-06,7.026488e-05
1.260000e-11,1.120280e-07,-1.722497e-07,-4.809113e-06,-4.809113e-06,7.057323e-05
1.280000e-11,1.153809e-07,-7.984721e-08,-4.857053e-06,-4.857053e-06,7.016404e-05
1.300000e-11,1.178900e-07,-3.552203e-08,-4.905852e-06,-4.905852e-06,6.912468e-05
1.320000e-11,1.139934e-07,-4.856504e-08,-4.954288e-06,-4.954288e-06,6.758832e-05
1.340000e-11,1.021425e-07,-1.059919e-07,-5.001336e-06,-5.001336e-06,6.570414e-05
1.360000e-11,8.517759e-08,-1.797173e-07,-5.045980e-06,-5.045980e-06,6.361178e-05
1.380000e-11,6.820993e-08,-2.392270e-07,-5.086711e-06,-5.086711e-06,6.142463e-05
1.400000e-11,5.567873e-08,-2.637052e-07,-5.121352e-06,-5.121352e-06,5.922264e-05
1.420000e-11,4.934644e-08,-2.484468e-07,-5.147580e-06,-5.147580e-06,5.705190e-05
1.440000e-11,4.807564e-08,-2.035592e-07,-5.163790e-06,-5.163790e-06,5.492742e-05
1.460000e-11,4.908664e-08,-1.470172e-07,-5.169574e-06,-5.169574e-06,5.283625e-05
1.480000e-11,4.972918e-08,-9.667044e-08,-5.165391e-06,-5.165391e-06,5.074014e-05
1.500000e-11,4.881724e-08,-6.500310e-08,-5.151768e-06,-5.151768e-06,4.857804e-05
1.520000e-11,4.704319e-08,-5.754357e-08,-5.128729e-06,-5.128729e-06,4.626948e-05
1.540000e-11,4.652822e-08,-7.378536e-08,-5.095932e-06,-5.095932e-06,4.371920e-05
1.560000e-11,4.989349e-08,-1.091151e-07,-5.053372e-06,-5.053372e-06,4.082246e-05
1.580000e-11,5.924912e-08,-1.564568e-07,-5.002103e-06,-5.002103e-06,3.747050e-05
1.600000e-11,7.529441e-08,-2.068812e-07,-4.944444e-06,-4.944444e-06,3.355634e-05
1.620000e-11,9.657257e-08,-2.495980e-07,-4.883594e-06,-4.883594e-06,2.898269e-05
1.640000e-11,1.190720e-07,-2.729781e-07,-4.823057e-06,-4.823057e-06,2.367643e-05
1.660000e-11,1.366820e-07,-2.680703e-07,-4.766445e-06,-4.766445e-06,1.761352e-05
1.680000e-11,1.429236e-07,-2.336487e-07,-4.717863e-06,-4.717863e-06,1.085377e-05
1.700000e-11,1.335822e-07,-1.790555e-07,-4.682398e-06,-4.682398e-06,3.572427e-06
1.720000e-11,1.089630e-07,-1.217786e-07,-4.665596e-06,-4.665596e-06,-3.935866e-06
1.740000e-11,7.440422e-08,-8.077904e-08,-4.671401e-06,-4.671401e-06,-1.129894e-05
1.760000e-11,3.857465e-08,-6.919580e-08,-4.699843e-06,-4.699843e-06,-1.814250e-05
1.780000e-11,1.031619e-08,-8.937911e-08,-4.746710e-06,-4.746710e-06,-2.415884e-05
1.800000e-11,-4.421668e-09,-1.320332e-07,-4.805718e-06,-4.805718e-06,-2.913300e-05
1.820000e-11,-4.080779e-09,-1.804635e-07,-4.871450e-06,-4.871450e-06,-3.292252e-05
1.840000e-11,9.153310e-09,-2.186559e-07,-4.941025e-06,-4.941025e-06,-3.541473e-05
1.860000e-11,3.147350e-08,-2.386309e-07,-5.013779e-06,-5.013779e-06,-3.649277e-05
1.880000e-11,5.946741e-08,-2.422079e-07,-5.089541e-06,-5.089541e-06,-3.602844e-05
1.900000e-11,9.051213e-08,-2.365401e-07,-5.166572e-06,-5.166572e-06,-3.390280e-05
1.920000e-11,1.212665e-07,-2.273159e-07,-5.240133e-06,-5.240133e-06,-3.004505e-05
1.940000e-11,1.457576e-07,-2.145808e-07,-5.302370e-06,-5.302370e-06,-2.447948e-05
1.960000e-11,1.554562e-07,-1.940022e-07,-5.343877e-06,-5.343877e-06,-1.737518e-05
1.980000e-11,1.426158e-07,-1.628963e-07,-5.356629e-06,-5.356629e-06,-9.090830e-06
2.000000e-11,1.055195e-07,-1.267941e-07,-5.336986e-06,-5.336986e-06,-1.881540e-07
2.020000e-11,9.274317e-09,-7.537565e-09,-5.286918e-06,-5.286918e-06,8.625521e-06
2.040000e-11,-6.848451e-08,5.731720e-08,-5.213709e-06,-5.213709e-06,1.663730e-05
2.060000e-11,-1.114055e-07,5.236352e-08,-5.126830e-06,-5.126830e-06,2.328337e-05
2.080000e-11,-1.151873e-07,2.980102e-09,-5.035071e-06,-5.035071e-06,2.822687e-05
2.100000e-11,-7.941295e-08,-6.362669e-08,-4.945005e-06,-4.945005e-06,3.133120e-05
2.120000e-11,-1.530181e-08,-1.184922e-07,-4.861421e-06,-4.861421e-06,3.256954e-05
2.140000e-11,5.459577e-08,-1.340323e-07,-4.788982e-06,-4.788982e-06,3.193653e-05
2.160000e-11,1.046898e-07,-9.542746e-08,-4.733574e-06,-4.733574e-06,2.941250e-05
2.180000e-11,1.165207e-07,-1.047280e-08,-4.701776e-06,-4.701776e-06,2.499878e-05
2.200000e-11,8.595314e-08,9.028474e-08,-4.698160e-06,-4.698160e-06,1.880796e-05
2.220000e-11,2.473133e-08,1.649709e-07,-4.722494e-06,-4.722494e-06,1.115843e-05
2.240000e-11,-4.414387e-08,1.789607e-07,-4.769432e-06,-4.769432e-06,2.603888e-06
2.260000e-11,-9.544399e-08,1.219831e-07,-4.831014e-06,-4.831014e-06,-6.142758e-06
2.280000e-11,-1.114365e-07,1.472343e-08,-4.899877e-06,-4.899877e-06,-1.435850e-05
2.300000e-11,-8.825186e-08,-9.947826e-08,-4.971020e-06,-4.971020e-06,-2.144651e-05
2.320000e-11,-3.645215e-08,-1.743886e-07,-5.041445e-06,-5.041445e-06,-2.699368e-05
2.340000e-11,2.402354e-08,-1.821313e-07,-5.108510e-06,-5.108510e-06,-3.074738e-05
2.360000e-11,7.201065e-08,-1.248355e-07,-5.168365e-06,-5.168365e-06,-3.255573e-05
2.380000e-11,9.277333e-08,-3.104220e-08,-5.215644e-06,-5.215644e-06,-3.231975e-05
2.400000e-11,8.227254e-08,5.999552e-08,-5.244741e-06,-5.244741e-06,-2.998370e-05
2.420000e-11,4.709905e-08,1.166366e-07,-5.251898e-06,-5.251898e-06,-2.556743e-05
2.440000e-11,9.842305e-10,1.261407e-07,-5.236666e-06,-5.236666e-06,-1.922944e-05
2.460000e-11,-4.035424e-08,9.473066e-08,-5.201847e-06,-5.201847e-06,-1.133540e-05
2.480000e-11,-6.430303e-08,3.958384e-08,-5.152216e-06,-5.152216e-06,-2.486454e-06
2.500000e-11,-6.498201e-08,-2.016679e-08,-5.093045e-06,-5.093045e-06,6.540958e-06
2.520000e-11,-4.447064e-08,-6.878948e-08,-5.029285e-06,-5.029285e-06,1.494257e-05
2.540000e-11,-1.139261e-08,-9.596735e-08,-4.965495e-06,-4.965495e-06,2.204668e-05
2.560000e-11,2.250434e-08,-9.736335e-08,-4.906130e-06,-4.906130e-06,2.740177e-05
2.580000e-11,4.643762e-08,-7.451541e-08,-4.855673e-06,-4.855673e-06,3.076584e-05
2.600000e-11,5.387253e-08,-3.402331e-08,-4.818313e-06,-4.818313e-06,3.203635e-05
2.620000e-11,4.402995e-08,1.408061e-08,-4.797256e-06,-4.797256e-06,3.117986e-05
2.640000e-11,2.147337e-08,5.855652e-08,-4.793985e-06,-4.793985e-06,2.820505e-05
2.660000e-11,-5.748752e-09,8.911872e-08,-4.807901e-06,-4.807901e-06,2.319669e-05
2.680000e-11,-2.873464e-08,9.799380e-08,-4.836553e-06,-4.836553e-06,1.639790e-05
2.700000e-11,-4.046657e-08,8.127788e-08,-4.876330e-06,-4.876330e-06,8.289200e-06
2.720000e-11,-3.793211e-08,4.097877e-08,-4.923263e-06,-4.923263e-06,-4.137932e-07
2.740000e-11,-2.293041e-08,-1.308320e-08,-4.973578e-06,-4.973578e-06,-8.882636e-06
2.760000e-11,-1.228743e-09,-6.441634e-08,-5.023890e-06,-5.023890e-06,-1.635940e-05
2.780000e-11,1.961390e-08,-9.540846e-08,-5.071091e-06,-5.071091e-06,-2.229214e-05
2.800000e-11,3.287974e-08,-9.483809e-08,-5.112172e-06,-5.112172e-06,-2.636325e-05
2.820000e-11,3.479528e-08,-6.310390e-08,-5.144194e-06,-5.144194e-06,-2.843332e-05
2.840000e-11,2.548066e-08,-1.218760e-08,-5.164535e-06,-5.164535e-06,-2.846475e-05
2.860000e-11,8.639728e-09,3.960515e-08,-5.171366e-06,-5.171366e-06,-2.647978e-05
2.880000e-11,-9.769921e-09,7.514551e-08,-5.164132e-06,-5.164132e-06,-2.257564e-05
2.900000e-11,-2.349536e-08,8.437737e-08,-5.143760e-06,-5.143760e-06,-1.698417e-05
2.920000e-11,-2.804998e-08,6.650421e-08,-5.112479e-06,-5.112479e-06,-1.012946e-05
2.940000e-11,-2.223908e-08,2.892391e-08,-5.073340e-06,-5.073340e-06,-2.623927e-06
2.980000e-11,7.570503e-09,-5.288658e-08,-4.984973e-06,-4.984973e-06,1.154554e-05
3.000000e-11,2.003230e-08,-7.126698e-08,-4.942367e-06,-4.942367e-06,1.702957e-05
3.020000e-11,2.407640e-08,-6.546551e-08,-4.905034e-06,-4.905034e-06,2.095355e-05
3.040000e-11,1.826722e-08,-3.813879e-08,-4.875902e-06,-4.875902e-06,2.315991e-05
3.060000e-11,5.033756e-09,1.113823e-09,-4.857401e-06,-4.857401e-06,2.360569e-05
3.080000e-11,-1.026112e-08,3.921233e-08,-4.851055e-06,-4.851055e-06,2.232931e-05
3.100000e-11,-2.143288e-08,6.415422e-08,-4.857152e-06,-4.857152e-06,1.945052e-05
3.120000e-11,-2.394933e-08,6.887956e-08,-4.874691e-06,-4.874691e-06,1.519446e-05
3.140000e-11,-1.677805e-08,5.315295e-08,-4.901656e-06,-4.901656e-06,9.911616e-06
3.160000e-11,-2.854808e-09,2.314254e-08,-4.935455e-06,-4.935455e-06,4.064362e-06
3.180000e-11,1.205481e-08,-1.088412e-08,-4.973300e-06,-4.973300e-06,-1.829346e-06
3.200000e-11,2.171975e-08,-3.799337e-08,-5.012408e-06,-5.012408e-06,-7.274705e-06
3.220000e-11,2.212385e-08,-5.016863e-08,-5.050024e-06,-5.050024e-06,-1.186688e-05
3.240000e-11,1.328074e-08,-4.488630e-08,-5.083396e-06,-5.083396e-06,-1.532286e-05
3.260000e-11,-7.482457e-10,-2.570123e-08,-5.109864e-06,-5.109864e-06,-1.747898e-05
3.280000e-11,-1.371925e-08,-5.579124e-10,-5.127102e-06,-5.127102e-06,-1.827103e-05
3.300000e-11,-2.004685e-08,2.147135e-08,-5.133490e-06,-5.133490e-06,-1.771562e-05
3.320000e-11,-1.723872e-08,3.358658e-08,-5.128441e-06,-5.128441e-06,-1.590251e-05
3.340000e-11,-6.840985e-09,3.335631e-08,-5.112539e-06,-5.112539e-06,-1.299626e-05
3.360000e-11,6.402300e-09,2.281853e-08,-5.087431e-06,-5.087431e-06,-9.237552e-06
3.380000e-11,1.669293e-08,6.923491e-09,-5.055531e-06,-5.055531e-06,-4.933441e-06
3.400000e-11,1.969165e-08,-8.674041e-09,-5.019691e-06,-5.019691e-06,-4.317735e-07
3.420000e-11,1.437110e-08,-1.946922e-08,-4.982932e-06,-4.982932e-06,3.915856e-06
3.440000e-11,3.394289e-09,-2.309151e-08,-4.948264e-06,-4.948264e-06,7.791841e-06
3.460000e-11,-8.203377e-09,-1.943416e-08,-4.918542e-06,-4.918542e-06,1.094021e-05
3.480000e-11,-1.540582e-08,-1.022221e-08,-4.896271e-06,-4.896271e-06,1.317932e-05
3.500000e-11,-1.547999e-08,1.675311e-09,-4.883345e-06,-4.883345e-06,1.440180e-05
3.520000e-11,-9.024455e-09,1.299449e-08,-4.880768e-06,-4.880768e-06,1.456830e-05
3.540000e-11,5.896312e-10,2.079812e-08,-4.888497e-06,-4.888497e-06,1.370151e-05
3.560000e-11,8.968256e-09,2.311622e-08,-4.905473e-06,-4.905473e-06,1.188364e-05
3.580000e-11,1.272112e-08,1.942321e-08,-4.929854e-06,-4.929854e-06,9.256281e-06
3.600000e-11,1.084124e-08,1.082700e-08,-4.959332e-06,-4.959332e-06,6.018357e-06
3.620000e-11,4.898930e-09,-1.531321e-10,-4.991400e-06,-4.991400e-06,2.416843e-06
3.640000e-11,-1.929172e-09,-1.026336e-08,-5.023524e-06,-5.023524e-06,-1.272135e-06
3.660000e-11,-6.464092e-09,-1.652553e-08,-5.053217e-06,-5.053217e-06,-4.769545e-06
3.680000e-11,-6.972326e-09,-1.726120e-08,-5.078119e-06,-5.078119e-06,-7.820653e-06
3.700000e-11,-3.796133e-09,-1.270472e-08,-5.096139e-06,-5.096139e-06,-1.021629e-05
3.720000e-11,1.051723e-09,-4.894790e-09,-5.105688e-06,-5.105688e-06,-1.180464e-05
3.740000e-11,5.035897e-09,3.150126e-09,-5.105922e-06,-5.105922e-06,-1.249463e-05
3.760000e-11,6.371637e-09,8.624823e-09,-5.096900e-06,-5.096900e-06,-1.225514e-05
3.780000e-11,4.800315e-09,9.977801e-09,-5.079589e-06,-5.079589e-06,-1.111430e-05
3.800000e-11,1.536615e-09,7.363333e-09,-5.055698e-06,-5.055698e-06,-9.160163e-06
3.820000e-11,-1.510417e-09,2.361152e-09,-5.027451e-06,-5.027451e-06,-6.540716e-06
3.840000e-11,-2.787773e-09,-2.835545e-09,-4.997348e-06,-4.997348e-06,-3.458791e-06
3.860000e-11,-1.867302e-09,-6.342857e-09,-4.967975e-06,-4.967975e-06,-1.582081e-07
3.880000e-11,4.313486e-10,-7.209011e-09,-4.941842e-06,-4.941842e-06,3.098806e-06
3.900000e-11,2.572192e-09,-5.539472e-09,-4.921210e-06,-4.921210e-06,6.058368e-06
3.920000e-11,3.169858e-09,-2.198939e-09,-4.907882e-06,-4.907882e-06,8.499209e-06
3.940000e-11,1.731641e-09,1.662926e-09,-4.902987e-06,-4.902987e-06,1.024943e-05
3.960000e-11,-1.092261e-09,5.014960e-09,-4.906828e-06,-4.906828e-06,1.119476e-05
3.980000e-11,-3.853300e-09,7.154187e-09,-4.918853e-06,-4.918853e-06,1.128083e-05
4.000000e-11,-5.049751e-09,7.738367e-09,-4.937770e-06,-4.937770e-06,1.051334e-05
4.020000e-11,-3.891330e-09,6.730299e-09,-4.961749e-06,-4.961749e-06,8.957900e-06
4.040000e-11,-7.080683e-10,4.336579e-09,-4.988638e-06,-4.988638e-06,6.738978e-06
4.060000e-11,3.187272e-09,9.769717e-10,-5.016130e-06,-5.016130e-06,4.034700e-06
4.080000e-11,6.107246e-09,-2.729229e-09,-5.041899e-06,-5.041899e-06,1.064558e-06
4.100000e-11,6.771203e-09,-6.009371e-09,-5.063716e-06,-5.063716e-06,-1.930381e-06
4.120000e-11,4.888750e-09,-8.070373e-09,-5.079611e-06,-5.079611e-06,-4.711522e-06
4.140000e-11,1.277471e-09,-8.326495e-09,-5.088084e-06,-5.088084e-06,-7.065682e-06
4.160000e-11,-2.524425e-09,-6.646874e-09,-5.088311e-06,-5.088311e-06,-8.822269e-06
4.180000e-11,-4.952137e-09,-3.488490e-09,-5.080292e-06,-5.080292e-06,-9.863034e-06
4.200000e-11,-5.086589e-09,1.947921e-10,-5.064867e-06,-5.064867e-06,-1.012583e-05
4.220000e-11,-3.009423e-09,3.267483e-09,-5.043599e-06,-5.043599e-06,-9.605137e-06
4.240000e-11,2.905985e-10,4.827209e-09,-5.018581e-06,-5.018581e-06,-8.351423e-06
4.260000e-11,3.385038e-09,4.535466e-09,-4.992213e-06,-4.992213e-06,-6.469170e-06
4.280000e-11,5.020221e-09,2.723508e-09,-4.966982e-06,-4.966982e-06,-4.111768e-06
4.300000e-11,4.611210e-09,2.411761e-10,-4.945269e-06,-4.945269e-06,-1.471021e-06
4.320000e-11,2.422480e-09,-1.877235e-09,-4.929134e-06,-4.929134e-06,1.239213e-06
4.340000e-11,-6.098535e-10,-2.798215e-09,-4.920098e-06,-4.920098e-06,3.803205e-06
4.360000e-11,-3.306080e-09,-2.188685e-09,-4.918954e-06,-4.918954e-06,6.023403e-06
4.380000e-11,-4.720024e-09,-3.274862e-10,-4.925658e-06,-4.925658e-06,7.736583e-06
4.400000e-11,-4.467055e-09,2.010443e-09,-4.939354e-06,-4.939354e-06,8.824215e-06
4.420000e-11,-2.792543e-09,3.855667e-09,-4.958522e-06,-4.958522e-06,9.217546e-06
4.440000e-11,-3.934879e-10,4.418553e-09,-4.981186e-06,-4.981186e-06,8.899276e-06
4.460000e-11,1.895278e-09,3.392830e-09,-5.005132e-06,-5.005132e-06,7.903453e-06
4.480000e-11,3.404896e-09,1.072248e-09,-5.028094e-06,-5.028094e-06,6.313879e-06
4.500000e-11,3.815585e-09,-1.761877e-09,-5.047911e-06,-5.047911e-06,4.259880e-06
4.520000e-11,3.182286e-09,-4.136401e-09,-5.062703e-06,-5.062703e-06,1.907834e-06
4.540000e-11,1.836535e-09,-5.252857e-09,-5.071051e-06,-5.071051e-06,-5.522351e-07
4.560000e-11,2.340383e-10,-4.788045e-09,-5.072184e-06,-5.072184e-06,-2.923750e-06
4.580000e-11,-1.187021e-09,-3.014104e-09,-5.066095e-06,-5.066095e-06,-5.021532e-06
4.600000e-11,-2.101125e-09,-6.853607e-10,-5.053559e-06,-5.053559e-06,-6.687405e-06
4.620000e-11,-2.339862e-09,1.273467e-09,-5.036013e-06,-5.036013e-06,-7.801408e-06
4.640000e-11,-1.900016e-09,2.157740e-09,-5.015372e-06,-5.015372e-06,-8.288365e-06
4.660000e-11,-9.308994e-10,1.786002e-09,-4.993798e-06,-4.993798e-06,-8.120885e-06
4.680000e-11,2.937495e-10,5.730515e-10,-4.973483e-06,-4.973483e-06,-7.320078e-06
4.700000e-11,1.424864e-09,-6.747750e-10,-4.956444e-06,-4.956444e-06,-5.954414e-06
4.720000e-11,2.114859e-09,-1.158822e-09,-4.944327e-06,-4.944327e-06,-4.136073e-06
4.740000e-11,2.116101e-09,-4.944364e-10,-4.938233e-06,-4.938233e-06,-2.013538e-06
4.760000e-11,1.374423e-09,1.079538e-09,-4.938591e-06,-4.938591e-06,2.401754e-07
4.780000e-11,7.706726e-11,2.801383e-09,-4.945122e-06,-4.945122e-06,2.442868e-06
4.800000e-11,-1.379196e-09,3.754707e-09,-4.956905e-06,-4.956905e-06,4.419776e-06
4.820000e-11,-2.505035e-09,3.324264e-09,-4.972527e-06,-4.972527e-06,6.018660e-06
4.840000e-11,-2.886737e-09,1.514732e-09,-4.990271e-06,-4.990271e-06,7.121281e-06
4.860000e-11,-2.343181e-09,-1.023494e-09,-5.008303e-06,-5.008303e-06,7.650644e-06
4.880000e-11,-1.007136e-09,-3.274869e-09,-5.024838e-06,-5.024838e-06,7.574660e-06
4.900000e-11,7.064491e-10,-4.314599e-09,-5.038287e-06,-5.038287e-06,6.907240e-06
4.920000e-11,2.238309e-09,-3.729189e-09,-5.047401e-06,-5.047401e-06,5.707291e-06
4.940000e-11,3.079954e-09,-1.808303e-09,-5.051395e-06,-5.051395e-06,4.075214e-06
4.960000e-11,2.954191e-09,5.807799e-10,-5.050042e-06,-5.050042e-06,2.146005e-06
4.980000e-11,1.914069e-09,2.379745e-09,-5.043685e-06,-5.043685e-06,7.845308e-08
5.000000e-11,3.233537e-10,2.810455e-09,-5.033190e-06,-5.033190e-06,-1.958851e-06
5.020000e-11,-1.274204e-09,1.716507e-09,-5.019815e-06,-5.019815e-06,-3.802798e-06
5.040000e-11,-2.347982e-09,-3.760093e-10,-5.005055e-06,-5.005055e-06,-5.309886e-06
5.060000e-11,-2.564475e-09,-2.497828e-09,-4.990472e-06,-4.990472e-06,-6.367288e-06
5.080000e-11,-1.895823e-09,-3.660669e-09,-4.977535e-06,-4.977535e-06,-6.900151e-06
5.100000e-11,-6.170195e-10,-3.276931e-09,-4.967475e-06,-4.967475e-06,-6.875485e-06
5.120000e-11,8.016670e-10,-1.399655e-09,-4.961171e-06,-4.961171e-06,-6.303399e-06
5.140000e-11,1.863606e-09,1.305861e-09,-4.959066e-06,-4.959066e-06,-5.236108e-06
5.160000e-11,2.214611e-09,3.833220e-09,-4.961142e-06,-4.961142e-06,-3.764448e-06
5.180000e-11,1.755152e-09,5.230173e-09,-4.966950e-06,-4.966950e-06,-2.011316e-06
5.200000e-11,6.625615e-10,4.959994e-09,-4.975693e-06,-4.975693e-06,-1.217320e-07
5.220000e-11,-6.787679e-10,3.093744e-09,-4.986335e-06,-4.986335e-06,1.749822e-06
5.240000e-11,-1.811815e-09,2.692377e-10,-4.997725e-06,-4.997725e-06,3.453178e-06
5.260000e-11,-2.359509e-09,-2.556871e-09,-5.008715e-06,-5.008715e-06,4.855343e-06
5.280000e-11,-2.145348e-09,-4.461797e-09,-5.018262e-06,-5.018262e-06,5.850803e-06
5.300000e-11,-1.244414e-09,-4.879159e-09,-5.025522e-06,-5.025522e-06,6.368554e-06
5.320000e-11,4.867724e-11,-3.776600e-09,-5.029917e-06,-5.029917e-06,6.376026e-06
5.340000e-11,1.320999e-09,-1.635126e-09,-5.031185e-06,-5.031185e-06,5.880424e-06
5.360000e-11,2.176480e-09,7.480911e-10,-5.029389e-06,-5.029389e-06,4.927823e-06
5.380000e-11,2.361046e-09,2.552257e-09,-5.024894e-06,-5.024894e-06,3.599878e-06
5.400000e-11,1.839023e-09,3.214570e-09,-5.018303e-06,-5.018303e-06,2.007770e-06
5.420000e-11,7.985277e-10,2.606830e-09,-5.010384e-06,-5.010384e-06,2.832248e-07
